Domain Name,Domain Type,Agency,City,State,Status,Last Payment Date,Expiration Date
AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME,ACTIVE,3-Sep-13,3-Sep-14
AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME,ACTIVE,3-Mar-15,25-Apr-16
AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME,ACTIVE,3-Mar-15,25-Apr-16
AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA,ACTIVE,20-Oct-14,16-Jan-16
AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX,ACTIVE,8-Sep-14,7-Nov-15
AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX,ACTIVE,8-Sep-14,7-Nov-15
AVONCT.GOV,City,Non-Federal Agency,Avon,CT,ACTIVE,3-Nov-14,3-Nov-15
AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ,ACTIVE,17-Feb-15,15-Apr-16
AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM,ACTIVE,31-Mar-14,29-Mar-15
BADENPA.GOV,City,Non-Federal Agency,Baden,PA,ACTIVE,24-Aug-12,24-Aug-13
BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA,ACTIVE,17-Dec-14,17-Dec-15
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL,ACTIVE,28-May-14,28-May-15
BALTIMORECITY.GOV,City,Non-Federal Agency,Baltimore,MD,ACTIVE,2-Jul-14,30-Sep-15
BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME,ACTIVE,2-Jul-14,30-Sep-15
BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL,ACTIVE,30-Sep-14,30-Sep-15
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL,ACTIVE,2-Jul-14,30-Sep-15
BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX,ACTIVE,5-Aug-14,5-Aug-15
BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI,ACTIVE,14-Apr-14,13-May-15
BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI,ACTIVE,14-Apr-14,13-May-15
BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN,ACTIVE,22-Jul-14,13-Sep-15
BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI,ACTIVE,26-Jan-15,25-Apr-16
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,Bay St. Louis,MS,ACTIVE,17-Dec-14,6-Jan-16
BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY,ACTIVE,17-Apr-14,1-Jul-14
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ,ACTIVE,2-Jul-14,12-Jul-15
BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA,ACTIVE,10-Sep-14,29-Sep-15
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX,ACTIVE,1-Jul-14,25-Sep-15
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH,ACTIVE,5-Jun-14,5-Jun-15
BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA,ACTIVE,5-Mar-15,2-Jun-16
BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR,ACTIVE,6-Jan-15,3-Feb-16
BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH,ACTIVE,15-May-14,15-Jun-15
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH,ACTIVE,3-Oct-14,30-Sep-15
BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA,ACTIVE,31-Dec-14,1-Aug-15
BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY,ACTIVE,8-Jul-14,31-Jul-15
BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH,ACTIVE,18-Jul-14,30-Sep-15
BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX,ACTIVE,7-Jul-14,3-Sep-15
BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA,ACTIVE,11-Aug-14,30-Sep-15
BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX,ACTIVE,17-Oct-13,16-Nov-14
BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS,ACTIVE,6-Aug-14,29-Sep-15
BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM,ACTIVE,5-Nov-14,4-Jan-16
BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX,ACTIVE,17-Dec-14,17-Dec-15
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL,ACTIVE,29-Oct-14,18-Nov-15
BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY,ACTIVE,27-Mar-14,25-Feb-15
BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA,ACTIVE,10-Jun-14,2-Aug-15
BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA,ACTIVE,29-Jan-15,26-Apr-16
BELMONT-MA.GOV,City,Non-Federal Agency,Belmont,MA,ACTIVE,21-Jul-14,17-Oct-15
BELOITWI.GOV,City,Non-Federal Agency,Beloit,WI,ACTIVE,3-Dec-14,19-Feb-16
BELTONPARKSMO.GOV,City,Non-Federal Agency,Belton,MO,ACTIVE,25-Jul-11,25-Jul-12
BELTONTEXAS.GOV,City,Non-Federal Agency,Belton,TX,ACTIVE,20-Mar-14,19-Apr-15
BENDOREGON.GOV,City,Non-Federal Agency,Bend,OR,ACTIVE,24-Sep-14,27-Oct-15
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem,PA,ACTIVE,20-May-14,20-May-15
BENSONAZ.GOV,City,Non-Federal Agency,Benson,AZ,ACTIVE,8-Sep-14,8-Sep-15
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Harbor,MI,ACTIVE,26-Sep-14,30-Sep-15
BEREAKY.GOV,City,Non-Federal Agency,Berea,KY,ACTIVE,16-Jul-13,29-Apr-13
BERLINMD.GOV,City,Non-Federal Agency,Berlin,MD,ACTIVE,6-Feb-15,19-Feb-16
BERLINNH.GOV,City,Non-Federal Agency,Berlin,NH,ACTIVE,10-Feb-15,11-Apr-16
BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM,ACTIVE,14-Aug-14,30-Sep-15
BERWYN-IL.GOV,City,Non-Federal Agency,Berwyn,IL,ACTIVE,20-Jun-14,3-Sep-15
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Bethany Beach,DE,ACTIVE,22-Jan-15,20-Feb-16
BETHEL-CT.GOV,City,Non-Federal Agency,Bethel,CT,ACTIVE,17-Jun-14,22-Jul-15
BETHEL-OH.GOV,City,Non-Federal Agency,Bethel,OH,ACTIVE,6-Oct-14,6-Oct-15
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,Beverly Hills,CA,ACTIVE,16-Feb-15,13-May-16
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,Beverly Hills,CA,ACTIVE,16-Feb-15,13-May-16
BEVERLYMA.GOV,City,Non-Federal Agency,Beverly,MA,ACTIVE,9-Sep-14,30-Sep-15
BIGGS-CA.GOV,City,Non-Federal Agency,Biggs,CA,ACTIVE,2-Sep-14,30-Sep-15
BIGSANDYTX.GOV,City,Non-Federal Agency,Big Sandy,TX,ACTIVE,19-Aug-14,16-Sep-15
BINGHAMTON-NY.GOV,City,Non-Federal Agency,Binghamton,NY,ACTIVE,11-Apr-13,11-Apr-14
BIRMINGHAMAL.GOV,City,Non-Federal Agency,Birmingham,AL,ACTIVE,24-Jul-13,3-Dec-13
BISBEEAZ.GOV,City,Non-Federal Agency,Bisbee,AZ,ACTIVE,21-Jan-15,21-Jan-16
BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Biscayne Park,FL,ACTIVE,1-Aug-14,30-Sep-15
BISMARCKND.GOV,City,Non-Federal Agency,Bismarck,ND,ACTIVE,10-Dec-14,13-Jan-16
BIXBYOK.GOV,City,Non-Federal Agency,Bixby,OK,ACTIVE,25-Sep-13,25-Sep-14
BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,Blairsville,GA,ACTIVE,6-Feb-15,7-Apr-16
BLANDING-UT.GOV,City,Non-Federal Agency,Blanding,UT,ACTIVE,3-Aug-12,30-Sep-13
BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Hudsonville,MI,ACTIVE,14-Aug-14,21-Sep-15
BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,Bloomingdale,GA,ACTIVE,29-May-14,29-May-15
BLOOMINGTON-MN.GOV,City,Non-Federal Agency,Bloomington,MN,ACTIVE,13-Aug-14,30-Sep-15
BLUEASH-OH.GOV,City,Non-Federal Agency,Blue Ash,OH,ACTIVE,18-Nov-14,15-Dec-15
BOCARATON-FL.GOV,City,Non-Federal Agency,Boca Raton,FL,ACTIVE,10-Dec-14,30-Sep-15
BOERNE-TX.GOV,City,Non-Federal Agency,BOERNE,TX,ACTIVE,25-Jun-14,25-Jul-15
BOISEIDAHO.GOV,City,Non-Federal Agency,Boise,ID,ACTIVE,2-Mar-15,28-May-16
BOLTON-MA.GOV,City,Non-Federal Agency,Bolton,MA,ACTIVE,16-Jul-14,23-Aug-15
BONNEYTEXAS.GOV,City,Non-Federal Agency,Bonney,TX,ACTIVE,23-Apr-14,23-May-15
BORGERTX.GOV,City,Non-Federal Agency,Borger,TX,ACTIVE,26-Feb-15,26-Feb-16
BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Bosque Farms,NM,ACTIVE,8-Jul-14,26-Jul-15
BOSTON.GOV,City,Non-Federal Agency,Boston,MA,ACTIVE,22-Jul-14,15-Sep-15
BOULDERCOLORADO.GOV,City,Non-Federal Agency,Boulder,CO,ACTIVE,10-Jun-14,1-Sep-15
BOURBON-IN.GOV,City,Non-Federal Agency,Bremen,IN,ACTIVE,14-Jan-15,9-Mar-16
BOWERSDE.GOV,City,Non-Federal Agency,"Frederica,",DE,ACTIVE,11-Mar-15,8-Apr-16
BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,Bowling Green,MO,ACTIVE,7-Aug-14,25-Aug-15
BOWLINGGREENKY.GOV,City,Non-Federal Agency,Bowling Green,KY,ACTIVE,7-Nov-14,31-Aug-15
BOWMAR.GOV,City,Non-Federal Agency,Bow Mar,CO,ACTIVE,9-Sep-14,30-Sep-15
BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA,ACTIVE,1-Mar-15,6-Mar-16
BOYCEVA.GOV,City,Non-Federal Agency,Boyce,VA,ACTIVE,11-Oct-13,11-Oct-14
BOYLSTON-MA.GOV,City,Non-Federal Agency,Boylston,MA,ACTIVE,4-May-12,12-May-13
BOZEMAN-MT.GOV,City,Non-Federal Agency,Bozeman,MT,ACTIVE,2-Mar-12,11-May-13
BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Bradley Beach,NJ,ACTIVE,13-May-14,12-Jun-15
BRANFORD-CT.GOV,City,Non-Federal Agency,Branford,CT,ACTIVE,8-Sep-14,10-Sep-15
BRANSONMO.GOV,City,Non-Federal Agency,Branson,MO,ACTIVE,8-Sep-14,7-Oct-15
BRASWELLGA.GOV,City,Non-Federal Agency,Rockmart,GA,ACTIVE,14-May-14,14-May-15
BRAWLEY-CA.GOV,City,Non-Federal Agency,Brawley,CA,ACTIVE,5-Jan-15,4-Feb-16
BRECKENRIDGETX.GOV,City,Non-Federal Agency,Breckenridge,TX,ACTIVE,3-Jan-13,3-Jan-14
BREMENGA.GOV,City,Non-Federal Agency,Bremen,GA,ACTIVE,28-Aug-12,17-Sep-13
BREMERTONWA.GOV,City,Non-Federal Agency,Bremerton,WA,ACTIVE,14-Jan-15,29-Jan-16
BRENTWOOD-TN.GOV,City,Non-Federal Agency,Brentwood,TN,ACTIVE,25-Apr-14,27-Apr-15
BRENTWOODCA.GOV,City,Non-Federal Agency,Brentwood,CA,ACTIVE,22-May-14,11-Jun-15
BRENTWOODMD.GOV,City,Non-Federal Agency,Brentwood,MD,ACTIVE,4-Mar-14,24-May-15
BRENTWOODNH.GOV,City,Non-Federal Agency,Brentwood,NH,ACTIVE,12-Jan-15,23-Jan-16
BREWSTER-MA.GOV,City,Non-Federal Agency,Brewster,MA,ACTIVE,5-Sep-14,5-Sep-15
BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster,NY,ACTIVE,29-Dec-14,24-Feb-16
BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ,ACTIVE,11-Apr-14,9-Jul-15
BRIDGEPORTCT.GOV,City,Non-Federal Agency,Bridgeport,CT,ACTIVE,4-Dec-14,4-Dec-15
BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Bridgeview,IL,ACTIVE,9-Mar-15,4-Apr-16
BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Kent,OH,ACTIVE,24-Mar-14,18-Jun-15
BRISTOLCT.GOV,City,Non-Federal Agency,Bristol,CT,ACTIVE,21-Jan-15,22-Jan-16
BRLA.GOV,City,Non-Federal Agency,Baton Rouge,LA,ACTIVE,10-Nov-14,10-Nov-15
BROADVIEW-IL.GOV,City,Non-Federal Agency,Broadview,IL,ACTIVE,5-Jan-15,5-Jan-16
BROKENARROWOK.GOV,City,Non-Federal Agency,Broken Arrow,OK,ACTIVE,9-Jul-14,30-Sep-15
BROOKFIELD-WI.GOV,City,Non-Federal Agency,Brookfield,WI,ACTIVE,25-Aug-14,30-Sep-15
BROOKFIELDCT.GOV,City,Non-Federal Agency,Brookfield,CT,ACTIVE,28-Jan-15,15-Oct-14
BROOKFIELDIL.GOV,City,Non-Federal Agency,Brookfield ,IL,ACTIVE,4-Jan-15,4-Jan-16
BROOKHAVENGA.GOV,City,Non-Federal Agency,Dunwoody,GA,ACTIVE,22-Dec-14,28-Dec-15
BROOKLINEMA.GOV,City,Non-Federal Agency,Brookline,MA,ACTIVE,10-Oct-14,28-Dec-15
BROOKLYNOHIO.GOV,City,Non-Federal Agency,Brooklyn,OH,ACTIVE,27-Aug-14,9-Sep-15
BROOKLYNWI.GOV,City,Non-Federal Agency,Brooklyn,WI,ACTIVE,12-Jan-15,17-Feb-16
BROWNSVILLETN.GOV,City,Non-Federal Agency,Brownsville,TN,ACTIVE,28-Feb-13,28-Feb-14
BROWNWOODTEXAS.GOV,City,Non-Federal Agency,Brownwood,TX,ACTIVE,15-Aug-14,15-Aug-15
BRYCECANYONCITYUT.GOV,City,Non-Federal Agency,Bryce Canyon City,UT,ACTIVE,14-Jan-15,7-Apr-16
BRYSONCITYNC.GOV,City,Non-Federal Agency,Bryson City,NC,ACTIVE,27-Mar-14,20-Jun-15
BUCKEYEAZ.GOV,City,Non-Federal Agency,Buckeye,AZ,ACTIVE,2-Jul-14,30-Sep-15
BUCKSPORTMAINE.GOV,City,Non-Federal Agency,Bucksport,ME,ACTIVE,11-Jul-14,18-Aug-15
BUENAVISTACO.GOV,City,Non-Federal Agency,Buena Vista,CO,ACTIVE,16-Jun-14,17-May-15
BULLHEADCITYAZ.GOV,City,Non-Federal Agency,Bullhead City,AZ,ACTIVE,4-Dec-14,4-Dec-15
BUNKERHILLTX.GOV,City,Non-Federal Agency,HOUSTON,TX,ACTIVE,25-Jul-14,25-Jul-15
BURBANKCA.GOV,City,Non-Federal Agency,Burbank,CA,ACTIVE,30-Jun-14,26-Sep-15
BURBANKIL.GOV,City,Non-Federal Agency,Burbank,IL,ACTIVE,22-Aug-14,30-Sep-15
BURIENWA.GOV,City,Non-Federal Agency,Burien,WA,ACTIVE,2-Jul-14,30-Sep-15
BURKITTSVILLE-MD.GOV,City,Non-Federal Agency,Burkittsville,MD,ACTIVE,5-Sep-14,4-Aug-15
BURLINGTON-WI.GOV,City,Non-Federal Agency,Burlington,WI,ACTIVE,5-Aug-14,30-Sep-15
BURLINGTONKANSAS.GOV,City,Non-Federal Agency,Burlington,KS,ACTIVE,6-May-14,2-May-15
BURLINGTONNC.GOV,City,Non-Federal Agency,Burlington,NC,ACTIVE,29-Aug-14,28-Sep-15
BURLINGTONVT.GOV,City,Non-Federal Agency,Burlington,VT,ACTIVE,21-Jan-15,21-Apr-16
BURNSHARBOR-IN.GOV,City,Non-Federal Agency,Burns Harbor,IN,ACTIVE,2-Sep-14,5-Sep-15
BURNSVILLEMN.GOV,City,Non-Federal Agency,Burnsville,MN,ACTIVE,12-Jan-15,10-Feb-16
BURR-RIDGE.GOV,City,Non-Federal Agency,Burr Ridge,IL,ACTIVE,30-Sep-14,30-Sep-15
BURRILLVILLE-RI.GOV,City,Non-Federal Agency,Harrisville,RI,ACTIVE,8-Sep-14,30-Sep-15
BURTONMI.GOV,City,Non-Federal Agency,Burton,MI,ACTIVE,16-Oct-14,21-Oct-15
BUTLERWI.GOV,City,Non-Federal Agency,Butler,WI,ACTIVE,22-Sep-14,21-Dec-15
BYESVILLEOH.GOV,City,Non-Federal Agency,Byesville,OH,ACTIVE,3-Dec-13,3-Dec-14
CABOTAR.GOV,City,Non-Federal Agency,Cabot,AR,ACTIVE,10-Jul-14,30-Sep-15
CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM,ACTIVE,18-Aug-14,16-Nov-15
CALDWELLTX.GOV,City,Non-Federal Agency,Caldwell,TX,ACTIVE,29-Jan-15,28-Mar-16
CALEDONIAMN.GOV,City,Non-Federal Agency,Caledonia,MN,ACTIVE,23-Jan-15,11-Feb-16
CALUMETTWP-IN.GOV,City,Non-Federal Agency,Gary,IN,ACTIVE,30-Dec-14,30-Sep-15
CAMBRIDGEMA.GOV,City,Non-Federal Agency,Cambridge,MA,ACTIVE,2-Sep-14,30-Sep-15
CAMBRIDGENY.GOV,City,Non-Federal Agency,Cambridge,NY,ACTIVE,19-Jun-14,10-Jul-15
CAMDENMAINE.GOV,City,Non-Federal Agency,Camden,ME,ACTIVE,27-Mar-12,17-May-13
CAMDENTN.GOV,City,Non-Federal Agency,Camden,TN,ACTIVE,23-Jun-14,29-Jun-15
CAMPBELLOHIO.GOV,City,Non-Federal Agency,Campbell,OH,ACTIVE,22-Nov-10,18-Feb-12
CANALWINCHESTEROHIO.GOV,City,Non-Federal Agency,Canal Winchester,OH,ACTIVE,21-Apr-14,14-May-15
CANNONFALLSMN.GOV,City,Non-Federal Agency,Cannon Falls,MN,ACTIVE,28-Jun-14,7-Aug-15
CANTONOHIO.GOV,City,Non-Federal Agency,Canton,OH,ACTIVE,24-Dec-14,14-Jan-16
CANTONTWP-OH.GOV,City,Non-Federal Agency,Canton,OH,ACTIVE,29-Nov-14,30-Nov-15
CANTONTX.GOV,City,Non-Federal Agency,Canton,TX,ACTIVE,13-Jun-14,9-Jul-15
CARBONDALE-PA.GOV,City,Non-Federal Agency,Carbondale,PA,ACTIVE,4-Nov-13,16-Oct-14
